word,count,file
Mêrıkê,5,
"kê,",5,
"binı,",5,
zan,5,
Telebi,5,
vacerê:,5,
qıralan,5,
\m,5,
nêkerd,5,
nıngê,5,
phaçi,5,
“Na,5,
gırani,5,
ronê,5,
Mecdel,5,
toxım,5,
phıjiqiyo,5,
Nowo,5,
duri.,5,
"Wayir,",5,
hêrs,5,
lêwı.,5,
sênê,5,
Cı,5,
derê,5,
amo.,5,
bigêro,5,
manê,5,
En,5,
"zana,",5,
to'a,5,
"Yeruşalim,",5,
adır,5,
"ênan,",5,
Nı,5,
sılametiya,5,
"borê,",5,
phan,5,
“Piyê,5,
Ya,5,
sonê.,5,
"rındo,",5,
"nêdano,",5,
bıvênero,5,
nesli,5,
çıkê,5,
kenê?,5,
pıra,5,
xızmetkaranê,5,
bımıro,5,
bıranê,5,
keno?,5,
Ezo,5,
mıno.,5,
nêda,5,
Dest,5,
mal-mılkê,5,
"verdo,",5,
Hawariyan,5,
Zaxa,5,
dıdeyıni,5,
kırametê,5,
hewliya,5,
bıkiserê.,5,
kenay?,5,
Sezari,5,
nêkerdenê,5,
Endi,5,
bekçiyanê,5,
pıro,5,
Rayibanê,5,
Bımbarekan,5,
Beytania,5,
Nikodemo,5,
a.,5,
"""Bêrê,",5,
"mın.""",5,
"kenan.""",5,
"""İy",5,
Tomas,5,
-,4,
Mordemo,4,
hukumdarinı,4,
ardenê,4,
Domano,4,
berc.,4,
ano,4,
mêrê,4,
melekanê|Melek\w*,4,
Nasıra,4,
"amenê,",4,
meleki,4,
beno?,4,
sılam,4,
domano,4,
"berc,",4,
mua,4,
"gırs'a,",4,
thal,4,
qulê,4,
wad,4,
layık,4,
layıkê,4,
60,4,
61,4,
62,4,
namı,4,
"pırr,",4,
Bı,4,
bıkım.,4,
pêxemberê,4,
sonay,4,
danay,4,
yanê,4,
"ramıno,",4,
Beytlehemı,4,
Şüani,4,
Şüanan,4,
"mandenê,",4,
tersan,4,
"pıra,",4,
mordem,4,
Doman,4,
kerd|Şukır,4,
"Musay,",4,
Şimoni,4,
İsayê,4,
şikinan,4,
bımıri.,4,
diye.,4,
serri,4,
qa,4,
feteliyay.,4,
Kê,4,
pili|Rayib\w*,4,
Şeria,4,
xelesneno,4,
ra?,4,
kero.”,4,
nêkerdenê.,4,
bê.”,4,
Mesih\w*,4,
kı?,4,
zanenê.,4,
"Usıvi,",4,
“Kıtabo,4,
imtan,4,
"zanan,",4,
eşiyayım,4,
Hetê,4,
nêbi,4,
berd.,4,
"vırastenı,",4,
Kefernahumi.,4,
Şabati\w*,4,
hukm'a,4,
Cıni,4,
nêwesi,4,
veciyay.,4,
sukanê,4,
Sılxetiye,4,
bancero,4,
senık,4,
pê.”,4,
anti,4,
Canê,4,
herdi,4,
kudi,4,
cılı,4,
bi.”,4,
"İsa,",4,
cıla,4,
"wenê,",4,
“İyê,4,
"rastê,",4,
"bena,",4,
hemı,4,
seqet,4,
Sur,4,
deci,4,
no.,4,
mırd.,4,
"mekerê,",4,
sıma!,4,
manê.,4,
berbenê.,4,
"gıroto,",4,
Gunakari,4,
gunakar,4,
mekerê,4,
“Jü,4,
"vênenay,",4,
Sıftı,4,
mano.,4,
"vati,",4,
serdari,4,
bımıro.,4,
nêweşiye,4,
danan.,4,
bıkero.”,4,
êno;,4,
"sêrê,",4,
vay,4,
"Vacerê,",4,
rındekan,4,
"‘Qay,",4,
Raya,4,
"sono,",4,
hewlı,4,
“To,4,
meymanan,4,
gunê,4,
kenê.”,4,
khırre,4,
meselan'a,4,
kenan,4,
iman,4,
"“Wayir,",4,
Se,4,
Vat:,4,
eskeran,4,
“Se,4,
nêkerdi,4,
ra?”,4,
qewetı,4,
"bıkı,",4,
karı,4,
bigêrê,4,
mebêrê.,4,
pêxemberanê,4,
vatenı,4,
"pili|Rayib\w*,",4,
çarmıxê,4,
buluski,4,
"Yuhannay,",4,
“Lacê,4,
"bıderê,",4,
qırr,4,
bırusno,4,
rusnenan,4,
Hesabi,4,
bas,4,
nêzano,4,
"zano,",4,
"diyê,",4,
dest.,4,
"bımıro,",4,
zay,4,
bımuskını,4,
"bıwazo,",4,
bımuskıno.,4,
finê,4,
manda,4,
rê.,4,
inan!,4,
gıranan,4,
Heqo.,4,
veyvı,4,
bıberê.,4,
pay,4,
gıran,4,
eskeranê,4,
kisti,4,
Şilohi,4,
hêcirı,4,
biya.,4,
Reşberi,4,
Çay,4,
xeleşiyay,4,
“Hukumdariya,4,
"‘Wayir,",4,
bıvêneri.,4,
wa,4,
bıbo.,4,
mêrıki.,4,
xızmetkaran,4,
Bıraê,4,
"Yahyay,",4,
muskıtê,4,
derê?,4,
"rotenê,",4,
"veciyo,",4,
niyan.,4,
kerdo,4,
mıletanê,4,
"binan,",4,
“Hukumdari,4,
Qesawa,4,
bıbi,4,
Zeytıni,4,
kurıki,4,
verdanê,4,
nêzanenê,4,
persê,4,
iznı,4,
henguran,4,
zanay,4,
"mandê,",4,
muskına,4,
benê.,4,
Serê,4,
Nani,4,
sonan,4,
nêdi.,4,
emırê,4,
"weso,",4,
"niyan.""",4,
'Tı,4,
"di.""",4,
"""Bê,",4,
pırodayenı,4,
Arami,4,
İdarıkanê,4,
aman.,4,
"biyarê.""",4,
"""Se",4,
"ra?""",4,
'Sıma,4,
Yahudiyan'a,4,
Qey,4,
"nêbiyenê,",4,
ancia.,4,
fermanê,4,
Marko,4,
xızmeta,3,
waxtan,3,
rasti,3,
bıxur,3,
"nêvat,",3,
xof,3,
Cebraili,3,
"metersı,",3,
pizê,3,
lacanê,3,
İlyasi,3,
"sêro,",3,
fıkrê,3,
mijdani,3,
"nêbiyay,",3,
"mandı,",3,
Ezbeta,3,
Dawudi|Dawud\w*,3,
lez'a,3,
mın?,3,
vanê:,3,
Rama,3,
qudreta,3,
têser,3,
têbını,3,
hukumdari,3,
rest,3,
63,3,
“Namê,3,
64,3,
65,3,
66,3,
67,3,
68,3,
"Heq,",3,
hekmeta,3,
bımuskıno,3,
bındestiye,3,
pêxemberanê|Pêxember\w*,3,
71,3,
Gunê,3,
Xelesnoğ,3,
"rusneno,",3,
rusneno.,3,
"Roma,",3,
Meyrem'a,3,
"lacek,",3,
ara,3,
alefi,3,
"peşew,",3,
pitenê.,3,
ron,3,
bo!”,3,
"asmên,",3,
"Meyremı,",3,
teqdimê,3,
çewres,3,
pak,3,
laceko,3,
Şimon,3,
Mesihê|Mesih\w*,3,
"mevênerê,",3,
bena.”,3,
zafini,3,
dısmenê,3,
to.”,3,
Hanna,3,
zeweciyay,3,
serrı,3,
kıtabi,3,
Yeruşalim\w*.,3,
Fısıx,3,
"qediya,",3,
Usıvi'a,3,
"fetelinê,",3,
gırotenê.,3,
ramıtenê.,3,
